"Story","Title","Result","Date","Stability","Duration (s)"
"labcorp mock test for API Validation","API validation of POST call","SUCCESS","2022-08-18T11:49:19.059-04:00[America/New_York]","0.0","7.01"
"labcorp mock test for API Validation","API validation of GET call","FAILURE","2022-08-18T11:49:26.081-04:00[America/New_York]","0.0","0.86"
